City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,porto franco,-6.3383,-47.3992,24.94,90,100,0.68,BR,1731621160
1,port-aux-francais,-49.35,70.2167,2.95,74,81,10.58,TF,1731621161
2,nanao,37.05,136.9667,14.1,89,100,1.21,JP,1731621162
3,saldanha,-33.0117,17.9442,17.03,88,90,6.64,ZA,1731621163
4,onoda,34.0014,131.1836,18.01,88,100,3.09,JP,1731621164
5,baukau,51.5526,7.2042,9.16,94,100,1.54,DE,1731621165
6,kachkanar,58.7,59.4948,-1.16,83,100,6.16,RU,1731621166
7,kodiak,57.79,-152.4072,3.73,93,40,3.09,US,1731621167
8,lebu,-37.6167,-73.65,14.67,86,100,2.82,CL,1731621169
9,onega,63.9061,38.1404,0.08,91,19,4.36,RU,1731621170
10,yeoju,37.2958,127.6339,9.46,100,75,0.51,KR,1731621171
11,yellowknife,62.456,-114.3525,-11.99,96,75,3.09,CA,1731621172
12,udachny,66.4167,112.4,-26.37,98,89,3.29,RU,1731621173
13,alofi,-19.0595,-169.9187,25.94,69,75,10.29,NU,1731621174
14,college,64.8569,-147.8028,-17.18,79,0,2.06,US,1731621176
15,bilibino,68.0546,166.4372,-26.31,100,97,0.55,RU,1731621177
16,ust-nera,64.5667,143.2,-26.14,95,99,1.09,RU,1731621179
17,waitangi,-43.9535,-176.5597,16.01,85,100,5.81,NZ,1731621180
18,nuku'alofa,-21.1333,-175.2,26.19,83,20,5.14,TO,1731621181
19,baotou,40.6522,109.8222,4.8,79,9,1.97,CN,1731621183
20,dolgorukovo,52.3195,38.3453,-1.54,97,97,3.73,RU,1731621184
21,ca mau,9.1769,105.15,23.9,94,79,1.57,VN,1731621185
22,hawaiian paradise park,19.5933,-154.9731,26.6,81,40,7.2,US,1731621186
23,wailua homesteads,22.0669,-159.378,23.44,90,100,6.69,US,1731621187
24,hasaki,35.7333,140.8333,18.29,94,100,4.34,JP,1731621188
25,nova vicosa,-17.8919,-39.3719,24.08,83,100,2.66,BR,1731621189
26,puerto natales,-51.7236,-72.4875,13.25,50,0,4.63,CL,1731621191
27,badger,64.8,-147.5333,-17.23,77,20,2.06,US,1731621192
28,port mathurin,-19.6833,63.4167,24.31,77,19,6.56,MU,1731621193
29,talnakh,69.4865,88.3972,-29.72,97,100,3.15,RU,1731621194
